date	adjclose_IBM	time	IBM
08oct2002	44.947823	442	.0033359204
09oct2002	43.387848	443	-.035322919
10oct2002	45.365395	444	.044570182
11oct2002	50.36047	445	.10445696
14oct2002	49.966537	446	-.0078530079
15oct2002	53.953148	447	.076762505
16oct2002	51.132584	448	-.053694099
17oct2002	56.88401	449	.10659235
18oct2002	58.499138	450	.027997728
21oct2002	59.523369	451	.017356971
22oct2002	58.688225	452	-.014129882
23oct2002	58.774891	453	.0014756313
24oct2002	56.805222	454	-.034086488
25oct2002	58.743378	455	.033550177
28oct2002	60.319111	456	.026470557
29oct2002	60.460926	457	.0023483227
30oct2002	61.98151	458	.024838811
31oct2002	62.194237	459	.0034262214
01nov2002	63.344524	460	.01832613
04nov2002	64.999046	461	.025784129
05nov2002	64.352989	462	-.0099892132
06nov2002	64.360886	463	.00012269731
07nov2002	62.316551	464	-.032279022
08nov2002	61.24308	465	-.017376194
11nov2002	61.00629	466	-.0038738849
12nov2002	62.474419	467	.023780191
13nov2002	62.632278	468	.0025236041
14nov2002	63.713646	469	.017117986
15nov2002	63.153233	470	-.0088347252
18nov2002	62.498096	471	-.010427937
19nov2002	61.858753	472	-.010282488
20nov2002	64.416138	473	.040510576
21nov2002	67.012993	474	.039522339
22nov2002	66.642014	475	-.0055513112
25nov2002	68.039101	476	.020747337
26nov2002	67.139275	477	-.013313362
27nov2002	69.223076	478	.030565087
29nov2002	68.607407	479	-.0089337761
02dec2002	68.907349	480	.0043623317
03dec2002	67.257675	481	-.024231687
04dec2002	66.057915	482	-.017999288
05dec2002	65.560646	483	-.0075562447
06dec2002	64.976555	484	-.0089490982
09dec2002	62.821712	485	-.033725757
10dec2002	63.776794	486	.015088647
11dec2002	64.281952	487	.0078895055
12dec2002	63.279518	488	-.015717197
13dec2002	63.145336	489	-.002122716
16dec2002	64.424034	490	.020047771
17dec2002	63.390022	491	-.016180292
18dec2002	62.45863	492	-.01480206
19dec2002	62.087654	493	-.0059572486
20dec2002	62.97958	494	.014263383
23dec2002	63.350559	495	.0058731888
24dec2002	62.955902	496	-.0062492196
26dec2002	61.961361	497	-.015923535
27dec2002	61.061543	498	-.014628731
30dec2002	60.185398	499	-.014452483
31dec2002	61.172047	500	.016260564
02jan2003	63.595245	501	.038848378
03jan2003	64.447708	502	.013315459
06jan2003	65.978981	503	.023482054
07jan2003	67.881233	504	.028423386
08jan2003	66.452576	505	-.021271063
09jan2003	68.670555	506	.032831959
10jan2003	69.207291	507	.0077857068
13jan2003	69.073105	508	-.0019407788
14jan2003	69.917679	509	.012153099
15jan2003	69.136246	510	-.0112394
16jan2003	67.920708	511	-.017738171
17jan2003	64.171448	512	-.056782588
21jan2003	63.571568	513	-.0093920538
22jan2003	62.908539	514	-.010484412
23jan2003	63.974121	515	.016796736
24jan2003	62.348125	516	-.025745036
27jan2003	61.898216	517	-.0072422442
28jan2003	63.232162	518	.021321708
29jan2003	63.397919	519	.0026179613
30jan2003	61.803501	520	-.025471017
31jan2003	61.724564	521	-.0012780504
03feb2003	61.708782	522	-.00025570727
04feb2003	60.848423	523	-.014040355
05feb2003	60.982613	524	.0022028813
06feb2003	61.29895	525	.0051739328
07feb2003	60.974697	526	-.0053037405
10feb2003	61.615292	527	.010451104
11feb2003	61.204044	528	-.0066968086
12feb2003	60.500187	529	-.011566817
13feb2003	59.994041	530	-.0084012067
14feb2003	61.251495	531	.020743014
18feb2003	62.7383	532	.023983849
19feb2003	62.880653	533	.0022664275
20feb2003	62.595947	534	-.0045380034
21feb2003	63.228626	535	.01005661
24feb2003	62.129341	536	-.017538786
25feb2003	62.532677	537	.0064708879
26feb2003	61.211956	538	-.021346716
27feb2003	61.11705	539	-.0015516495
28feb2003	61.646919	540	.0086323759
03mar2003	61.156597	541	-.0079855155
04mar2003	60.658356	542	-.0081803454
05mar2003	61.472939	543	.013339659
06mar2003	60.950974	544	-.0085272258
07mar2003	61.607384	545	.010711901
10mar2003	59.867504	546	-.028647874
11mar2003	59.590706	547	-.0046342355
12mar2003	59.456264	548	-.0022586284
13mar2003	62.042347	549	.042576175
14mar2003	62.477318	550	.0069864085
17mar2003	65.213669	551	.042865515
18mar2003	65.221573	552	.00012119505
19mar2003	64.849876	553	-.0057152817
20mar2003	65.008041	554	.0024359708
21mar2003	67.143349	555	.03231889
24mar2003	65.047585	556	-.031710796
25mar2003	65.996605	557	.014484229
26mar2003	64.493996	558	-.023031171
27mar2003	64.414902	559	-.0012271293
28mar2003	63.940392	560	-.0073937327
31mar2003	62.026531	561	-.03038905
01apr2003	62.26379	562	.0038178226
02apr2003	64.422813	563	.034087777
03apr2003	64.778702	564	.0055090571
04apr2003	63.892944	565	-.013767935
07apr2003	63.639874	566	-.0039687222
08apr2003	63.323528	567	-.0049832608
09apr2003	62.247971	568	-.017131021
10apr2003	62.485229	569	.0038042669
11apr2003	62.279606	570	-.0032961823
14apr2003	63.323528	571	.016622936
15apr2003	65.474648	572	.033406053
16apr2003	65.545822	573	.0010864658
17apr2003	66.637199	574	.016513498
21apr2003	65.92543	575	-.010738712
22apr2003	67.720665	576	.026867118
23apr2003	67.815567	577	.0014003939
24apr2003	67.3806	578	-.0064346283
25apr2003	66.336678	579	-.015614192
28apr2003	67.317337	580	.014674862
29apr2003	67.744392	581	.0063238754
30apr2003	67.143349	582	-.0089118211
01may2003	67.926292	583	.011593316
02may2003	69.254921	584	.019371022
05may2003	68.424522	585	-.012062929
06may2003	69.207474	586	.011377584
07may2003	68.676628	587	-.0076999199
08may2003	68.177483	588	-.0072945962
09may2003	69.365936	589	.017281571
12may2003	70.514771	590	.016426284
13may2003	71.291222	591	.010951002
14may2003	70.277077	592	-.014327534
15may2003	71.227837	593	.013438038
16may2003	70.506844	594	-.010173929
19may2003	68.4944	595	-.028957786
20may2003	67.955635	596	-.0078969235
21may2003	68.280479	597	.0047688526
22may2003	68.201248	598	-.0011610532
23may2003	67.551567	599	-.0095716035
27may2003	69.476852	600	.028102376
28may2003	69.381775	601	-.0013694149
29may2003	69.215393	602	-.0024009426
30may2003	69.754158	603	.0077537512
02jun2003	69.191628	604	-.0080971662
03jun2003	66.410652	605	-.041022398
04jun2003	66.751343	606	.0051169456
05jun2003	64.889435	607	-.028289596
06jun2003	63.423679	608	-.022847535
09jun2003	64.968658	609	.024067692
10jun2003	64.738892	610	-.0035428484
11jun2003	66.529495	611	.027283259
12jun2003	66.513649	612	-.00023821223
13jun2003	65.562889	613	-.014397354
16jun2003	66.949417	614	.020927545
17jun2003	66.790955	615	-.0023697049
18jun2003	67.107872	616	.0047336938
19jun2003	66.989029	617	-.001772496
20jun2003	67.282181	618	.0043665702
23jun2003	65.90358	619	-.020702668
24jun2003	66.260109	620	.0053952807
25jun2003	65.356888	621	-.013725208
26jun2003	66.830566	622	.022297723
27jun2003	66.093727	623	-.011086714
30jun2003	65.364815	624	-.011089729
01jul2003	66.228416	625	.013125509
02jul2003	67.139565	626	.013663883
03jul2003	66.513649	627	-.0093663307
07jul2003	68.209167	628	.025171801
08jul2003	68.335938	629	.0018568231
09jul2003	67.717949	630	-.0090845302
10jul2003	66.577034	631	-.016991585
11jul2003	67.258408	632	.010182347
14jul2003	67.678329	633	.0062240018
15jul2003	68.486481	634	.011870332
16jul2003	68.724167	635	.0034645475
17jul2003	66.022423	636	-.040106487
18jul2003	66.331421	637	.0046692812
21jul2003	65.364815	638	-.014679592
22jul2003	64.849815	639	-.0079100495
23jul2003	65.206352	640	.0054828273
24jul2003	64.580437	641	-.0096453633
25jul2003	66.196732	642	.024719562
28jul2003	65.396507	643	-.012162238
