date	DJIA_returns
29jun1973	-.0032804268
02jul1973	
03jul1973	-.0072945883
05jul1973	
06jul1973	-.004826826
09jul1973	
10jul1973	.012528622
11jul1973	.022121564
12jul1973	-.0069056088
13jul1973	-.017842349
16jul1973	
17jul1973	.00050123601
18jul1973	.008173354
19jul1973	.0014127063
20jul1973	.0046435804
23jul1973	
24jul1973	.0060811779
25jul1973	.015445293
26jul1973	.0016171027
27jul1973	.0023299989
30jul1973	
31jul1973	-.0079240426
01aug1973	-.015468802
02aug1973	-.0022388811
03aug1973	-.0013963856
06aug1973	
07aug1973	-.00090974238
08aug1973	-.010948463
09aug1973	-.00058777531
10aug1973	-.010156883
13aug1973	
14aug1973	-.014242694
15aug1973	.0039658491
16aug1973	-.0016371685
17aug1973	-.0010317251
20aug1973	
21aug1973	-.011082626
22aug1973	-.0069484557
23aug1973	.014635882
24aug1973	-.0011227545
27aug1973	
28aug1973	.0015607083
29aug1973	.012942346
30aug1973	-.0010192342
31aug1973	.005694584
04sep1973	
05sep1973	.0041126432
06sep1973	.00217759
07sep1973	-.0026782406
10sep1973	
11sep1973	-.0062687038
12sep1973	-.0050252527
13sep1973	-.00085135852
14sep1973	.0065537388
17sep1973	
18sep1973	-.0019391689
19sep1973	.021214902
20sep1973	.011098518
21sep1973	.0079743713
24sep1973	
25sep1973	.0040910384
26sep1973	.0094707329
27sep1973	.0039626695
28sep1973	-.0064935414
01oct1973	
02oct1973	.0083647054
03oct1973	.0080672884
04oct1973	-.0090083284
05oct1973	.015930571
08oct1973	
09oct1973	-.0035453988
10oct1973	-.014079493
11oct1973	.016007448
12oct1973	.0026193268
15oct1973	
16oct1973	.00038253263
17oct1973	-.005067504
18oct1973	-.0028924611
19oct1973	.0041487478
22oct1973	
23oct1973	.0061647892
24oct1973	.005509791
25oct1973	.0027128009
26oct1973	.012816578
29oct1973	
30oct1973	-.016648803
31oct1973	-.012425318
01nov1973	-.0081347767
02nov1973	-.014383684
05nov1973	
06nov1973	-.0068977913
07nov1973	.0076371226
08nov1973	.013569381
09nov1973	-.026334234
12nov1973	
13nov1973	-.0074021346
14nov1973	-.024022853
15nov1973	.0053541777
16nov1973	.019005295
19nov1973	
20nov1973	-.020802302
21nov1973	.011859748
23nov1973	
26nov1973	
27nov1973	-.0087906085
28nov1973	.026607802
29nov1973	-.0055765524
30nov1973	-.01551895
03dec1973	
04dec1973	-.0041124937
05dec1973	-.018724816
06dec1973	.032216359
07dec1973	.028969981
10dec1973	
11dec1973	-.020127447
12dec1973	-.028514145
13dec1973	-.012785979
14dec1973	.018836297
17dec1973	
18dec1973	.022395039
19dec1973	.000096460753
20dec1973	-.0017615249
21dec1973	-.011391643
24dec1973	
26dec1973	
27dec1973	.015930992
28dec1973	-.0035196475
31dec1973	
02jan1974	
03jan1974	.029230017
04jan1974	-.00052247912
07jan1974	
08jan1974	-.01733586
09jan1974	-.03181988
10jan1974	-.014090339
11jan1974	.022072392
14jan1974	
15jan1974	.0073759439
16jan1974	.011383452
17jan1974	.01859732
18jan1974	-.019321872
21jan1974	
22jan1974	.010290489
23jan1974	.0086828563
24jan1974	-.0091345701
25jan1974	-.0042845542
28jan1974	
29jan1974	-.00080923043
30jan1974	.011664388
31jan1974	-.0078819171
01feb1974	-.013663118
04feb1974	
05feb1974	-.001047396
06feb1974	.0048381267
07feb1974	.0046459138
08feb1974	-.0097765261
11feb1974	
12feb1974	.0033901671
13feb1974	.00029747782
14feb1974	.0037728974
15feb1974	.012759061
19feb1974	
20feb1974	.013934721
21feb1974	.018833904
22feb1974	.010746876
25feb1974	
26feb1974	.0095039029
27feb1974	.0045387563
28feb1974	-.0033527147
01mar1974	-.010055907
04mar1974	
05mar1974	.022300404
06mar1974	.0084804706
07mar1974	-.012339246
08mar1974	.01029136
11mar1974	
12mar1974	-.00149813
13mar1974	.0051046088
14mar1974	-.0021105898
15mar1974	-.0021939715
18mar1974	
19mar1974	-.0076358179
20mar1974	.0054830783
21mar1974	.0035815646
22mar1974	.0030338005
25mar1974	
26mar1974	.0030146486
27mar1974	-.014257882
28mar1974	-.019496199
29mar1974	-.0090181064
01apr1974	
02apr1974	.0037039549
03apr1974	.013398975
04apr1974	.0010017769
05apr1974	-.013302865
08apr1974	
09apr1974	.0081575084
10apr1974	-.0037029467
11apr1974	.0013028875
15apr1974	
16apr1974	.020457955
17apr1974	.0071501518
18apr1974	.0028895047
19apr1974	-.011585101
22apr1974	
23apr1974	-.014772528
24apr1974	-.016218647
25apr1974	-.00565045
26apr1974	.0083739143
29apr1974	
30apr1974	.0015907681
01may1974	.020265335
02may1974	-.0033080459
03may1974	-.0060814503
06may1974	
07may1974	.0026831923
08may1974	.0045225625
09may1974	.01721894
10may1974	-.017865442
13may1974	
14may1974	.0026808702
15may1974	-.0021252343
16may1974	-.012751416
17may1974	-.019950122
20may1974	
21may1974	-.0035635582
22may1974	-.0086347805
23may1974	.0033088389
24may1974	.014082709
28may1974	
29may1974	-.023521425
30may1974	.010269357
31may1974	-.0017562318
03jun1974	
04jun1974	.0090063857
05jun1974	.0017963923
06jun1974	.018108178
07jun1974	.009852523
10jun1974	
11jun1974	-.0088681355
12jun1974	-.0041396469
13jun1974	.0041396469
14jun1974	-.010606693
17jun1974	
18jun1974	-.0035707746
19jun1974	-.0050109979
20jun1974	-.0064606545
21jun1974	-.0066007199
24jun1974	
25jun1974	.015220462
26jun1974	-.014449008
27jun1974	-.016413901
28jun1974	-.0015565951
01jul1974	
02jul1974	-.019488128
03jul1974	.0027659421
05jul1974	
08jul1974	
09jul1974	.0022295886
10jul1974	-.013256081
11jul1974	-.0032857154
12jul1974	.035702128
15jul1974	
16jul1974	-.013618733
17jul1974	.011531642
18jul1974	.0053616432
19jul1974	-.0015851582
22jul1974	
23jul1974	.0092691025
24jul1974	.010040744
25jul1974	-.012601281
26jul1974	-.01406128
29jul1974	
30jul1974	-.0069250464
31jul1974	-.01068955
01aug1974	-.008392348
02aug1974	.0019685598
05aug1974	
06aug1974	.01744299
07aug1974	.030269431
08aug1974	-.016013464
09aug1974	-.0097172391
12aug1974	
13aug1974	-.014241577
14aug1974	-.0212436
15aug1974	-.0035984037
16aug1974	-.0086293453
19aug1974	
20aug1974	.0069165505
21aug1974	-.021218155
22aug1974	-.0098290909
